mission,object_name,disposition,period,planet_radius,star_temp,star_radius,star_mass,discovery_facility
Kepler,K00005.01,CANDIDATE,4.780327581,7.14,5937.0,1.787,1.197,Kepler
Kepler,K00064.01,CANDIDATE,1.951082219,10.35,5302.0,2.426,1.258,Kepler
Kepler,K00075.01,CANDIDATE,105.8817667,10.16,5903.0,2.499,1.301,Kepler
Kepler,K00076.01,CANDIDATE,77.4794704,10.33,6711.0,2.909,1.657,Kepler
Kepler,K00080.01,CANDIDATE,9.250572762,96.08,8133.0,3.294,2.053,Kepler
Kepler,K00099.01,CANDIDATE,2190.7010353,3.12,4965.0,0.736,0.709,Kepler
Kepler,K00100.01,CANDIDATE,9.9664004,16.89,6638.0,3.079,1.595,Kepler
Kepler,K00115.03,CANDIDATE,3.43591631,0.55,5779.0,1.087,0.941,Kepler
Kepler,K00126.02,CANDIDATE,0.875197345,0.73,5855.0,1.796,1.174,Kepler
Kepler,K00129.02,CANDIDATE,143.21109362,,,,,Kepler
Kepler,K00141.01,CANDIDATE,2.624234833,5.11,5340.0,0.899,0.963,Kepler
Kepler,K00151.01,CANDIDATE,13.4471791,5.24,6276.0,1.041,1.001,Kepler
Kepler,K00185.01,CANDIDATE,23.210509958,21.19,5875.0,0.809,0.895,Kepler
Kepler,K00191.03,CANDIDATE,0.708621057,1.2,5422.0,0.887,0.874,Kepler
Kepler,K00210.01,CANDIDATE,20.92735802,17.36,6126.0,1.109,1.021,Kepler
Kepler,K00211.01,CANDIDATE,124.03589939,11.13,5822.0,1.28,1.047,Kepler
Kepler,K00212.01,CANDIDATE,5.69590202,6.61,6106.0,0.94,1.013,Kepler
Kepler,K00227.01,CANDIDATE,17.65737838,2.45,3745.0,0.47,0.49,Kepler
Kepler,K00238.03,CANDIDATE,362.97828,1.96,6086.0,1.216,1.013,Kepler
Kepler,K00255.02,CANDIDATE,13.6032081,0.75,3780.0,0.511,0.531,Kepler
Kepler,K00266.02,CANDIDATE,47.7439509,1.74,5949.0,1.292,1.14,Kepler
Kepler,K00268.01,CANDIDATE,110.3783828,3.02,6342.0,1.359,1.175,Kepler
Kepler,K00272.01,CANDIDATE,1.28132831,4.52,5918.0,1.596,0.881,Kepler
Kepler,K00283.03,CANDIDATE,9.48814747,0.73,5680.0,1.016,0.978,Kepler
Kepler,K00298.02,CANDIDATE,57.3840375,1.62,5250.0,0.79,0.79,Kepler
Kepler,K00304.02,CANDIDATE,5.518195,0.46,5767.0,0.881,0.979,Kepler
Kepler,K00317.02,CANDIDATE,11.505879,0.99,6336.0,1.403,1.324,Kepler
Kepler,K00319.01,CANDIDATE,46.15119482,10.02,5877.0,1.963,1.187,Kepler
Kepler,K00331.02,CANDIDATE,10.52286678,23.26,5548.0,1.614,1.038,Kepler
Kepler,K00332.02,CANDIDATE,6.86674226,0.79,5914.0,1.135,1.172,Kepler
Kepler,K00337.02,CANDIDATE,154.607419,1.56,6017.0,0.931,1.016,Kepler
Kepler,K00350.01,CANDIDATE,12.99065074,2.02,5787.0,1.027,0.971,Kepler
Kepler,K00353.01,CANDIDATE,152.1060435,11.58,6200.0,1.64,1.158,Kepler
Kepler,K00353.03,CANDIDATE,11.1619384,1.97,6200.0,1.64,1.158,Kepler
Kepler,K00364.01,CANDIDATE,173.92851338,,,,,Kepler
Kepler,K00365.02,CANDIDATE,117.761,0.62,5564.0,0.85,0.877,Kepler
Kepler,K00366.01,CANDIDATE,75.1122132,23.23,6201.0,3.354,1.694,Kepler
Kepler,K00379.02,CANDIDATE,23.1375919,1.83,6078.0,1.683,1.285,Kepler
Kepler,K00396.01,CANDIDATE,14.591504451,36.85,5940.0,1.312,0.993,Kepler
Kepler,K00415.01,CANDIDATE,166.7876551,7.03,5663.0,1.031,0.923,Kepler
Kepler,K00416.03,CANDIDATE,9.74765878,0.78,5176.0,0.738,0.826,Kepler
Kepler,K00416.04,CANDIDATE,31.5322987,0.74,5183.0,0.739,0.818,Kepler
Kepler,K00417.01,CANDIDATE,19.193103549,12.23,5883.0,0.892,0.985,Kepler
Kepler,K00422.01,CANDIDATE,809.0141881,14.38,6230.0,1.047,0.993,Kepler
Kepler,K00423.02,CANDIDATE,360.477635,11943.8,6266.0,1.522,1.066,Kepler
Kepler,K00426.01,CANDIDATE,16.30141333,3.84,6072.0,1.138,1.004,Kepler
Kepler,K00430.02,CANDIDATE,9.340538,0.84,4200.0,0.607,0.622,Kepler
Kepler,K00435.02,CANDIDATE,934.09418462,7.89,5937.0,0.832,0.916,Kepler
