mission,object_name,disposition,period,planet_radius,star_temp,star_radius,star_mass,discovery_facility
Kepler,K00005.02,FALSE POSITIVE,7.05185637,,,,,Kepler
Kepler,K00006.01,FALSE POSITIVE,1.334101467,1.74,6178.0,1.58,1.16,Kepler
Kepler,K00008.01,FALSE POSITIVE,1.16015259,1.4,5842.0,0.985,0.959,Kepler
Kepler,K00009.01,FALSE POSITIVE,3.719809197,87.21,6284.0,2.348,1.309,Kepler
Kepler,K00011.01,FALSE POSITIVE,3.747838198,13.65,5514.0,0.826,0.926,Kepler
Kepler,K00014.01,FALSE POSITIVE,2.947376671,403.59,8090.0,2.234,1.828,Kepler
Kepler,K00015.01,FALSE POSITIVE,3.012476582,65.25,8601.0,2.031,2.063,Kepler
Kepler,K00016.01,FALSE POSITIVE,0.895277575,9.27,8040.0,3.325,2.053,Kepler
Kepler,K00019.01,FALSE POSITIVE,1.20320092,49.25,6218.0,1.349,1.045,Kepler
Kepler,K00021.01,FALSE POSITIVE,4.288515468,76.51,6378.0,2.002,1.104,Kepler
Kepler,K00023.01,FALSE POSITIVE,4.693305543,17.85,6365.0,1.47,1.312,Kepler
Kepler,K00024.01,FALSE POSITIVE,2.086075752,10.3,6131.0,1.417,0.862,Kepler
Kepler,K00025.01,FALSE POSITIVE,3.132604547,48.73,6248.0,1.181,1.078,Kepler
Kepler,K00026.01,FALSE POSITIVE,15.03946326,12.36,6501.0,1.441,1.236,Kepler
Kepler,K00027.01,FALSE POSITIVE,1.141877248,88.62,6158.0,1.368,0.969,Kepler
Kepler,K00028.01,FALSE POSITIVE,4.100870416,82.46,5923.0,1.51,1.09,Kepler
Kepler,K00031.01,FALSE POSITIVE,0.925589891,50.6,4094.0,24.488,0.925,Kepler
Kepler,K00033.01,FALSE POSITIVE,0.366197145,51.34,4448.0,31.5,1.789,Kepler
Kepler,K00043.01,FALSE POSITIVE,11.32029599,8.02,5780.0,1.0,1.0,Kepler
Kepler,K00044.01,FALSE POSITIVE,66.46746217,11.97,5843.0,1.073,1.061,Kepler
Kepler,K00045.01,FALSE POSITIVE,6.397185875,15.02,5780.0,1.0,1.0,Kepler
Kepler,K00048.01,FALSE POSITIVE,23.836808884,59.31,6095.0,1.94,1.076,Kepler
Kepler,K00051.01,FALSE POSITIVE,10.431146765,50.44,5780.0,1.0,1.0,Kepler
Kepler,K00052.01,FALSE POSITIVE,2.98786272,17.82,5231.0,0.821,0.859,Kepler
Kepler,K00053.01,FALSE POSITIVE,3.388887193,10.72,5780.0,1.0,1.0,Kepler
Kepler,K00061.01,FALSE POSITIVE,1.63345402,24.87,6283.0,1.091,1.019,Kepler
Kepler,K00065.01,FALSE POSITIVE,27.25471993,,,,,Kepler
Kepler,K00066.01,FALSE POSITIVE,0.436282594,83.25,8491.0,2.622,1.791,Kepler
Kepler,K00068.01,FALSE POSITIVE,1.000840564,80.25,6287.0,3.177,1.328,Kepler
Kepler,K00074.01,FALSE POSITIVE,5.188671659,5.2,9523.0,1.941,2.202,Kepler
Kepler,K00081.01,FALSE POSITIVE,23.8761144,10.45,9974.0,2.533,2.615,Kepler
Kepler,K00082.06,FALSE POSITIVE,22.4098677,0.73,4900.0,0.741,0.806,Kepler
Kepler,K00088.01,FALSE POSITIVE,5.17968868,18.91,5761.0,0.815,0.857,Kepler
Kepler,K00090.01,FALSE POSITIVE,0.828206212,3.88,5812.0,3.227,1.504,Kepler
Kepler,K00099.02,FALSE POSITIVE,79.87804945,,,,,Kepler
Kepler,K00106.01,FALSE POSITIVE,1.612249049,50.98,6732.0,2.569,1.495,Kepler
Kepler,K00109.01,FALSE POSITIVE,6.41496453,25.79,6170.0,1.183,0.927,Kepler
Kepler,K00111.04,FALSE POSITIVE,103.62650922,,,,,Kepler
Kepler,K00113.01,FALSE POSITIVE,386.6030528,41.5,5543.0,1.58,1.103,Kepler
Kepler,K00114.01,FALSE POSITIVE,7.36178958,39.21,6227.0,1.958,1.358,Kepler
Kepler,K00120.01,FALSE POSITIVE,20.5452375,2.41,5670.0,1.264,0.937,Kepler
Kepler,K00121.01,FALSE POSITIVE,8.8111022,63.66,6200.0,2.404,1.333,Kepler
Kepler,K00126.01,FALSE POSITIVE,33.80364366,20.7,5855.0,1.796,1.174,Kepler
Kepler,K00130.01,FALSE POSITIVE,34.193600311,21.95,6129.0,1.786,1.14,Kepler
Kepler,K00132.01,FALSE POSITIVE,10.810132734,13.95,6211.0,1.284,1.114,Kepler
Kepler,K00133.01,FALSE POSITIVE,4.618767792,7.48,6013.0,1.033,0.938,Kepler
Kepler,K00136.01,FALSE POSITIVE,15.663886949,27.36,5996.0,2.221,1.43,Kepler
Kepler,K00138.01,FALSE POSITIVE,48.93786896,24.19,7066.0,1.761,1.406,Kepler
Kepler,K00140.01,FALSE POSITIVE,19.97867,6.85,9651.0,1.895,2.219,Kepler
Kepler,K00142.02,FALSE POSITIVE,339.42934084,,,,,Kepler
Kepler,K00143.01,FALSE POSITIVE,22.65117451,7.62,6968.0,1.333,1.333,Kepler
Kepler,K00145.01,FALSE POSITIVE,102.9641952,39.0,5047.0,7.119,2.15,Kepler
Kepler,K00146.01,FALSE POSITIVE,8.667822346,67.37,6266.0,1.889,1.089,Kepler
Kepler,K00147.01,FALSE POSITIVE,145.5624926,40.15,6148.0,1.095,0.969,Kepler
Kepler,K00154.01,FALSE POSITIVE,30.00908916,,,,,Kepler
Kepler,K00158.01,FALSE POSITIVE,5.80181368,4.52,6020.0,2.097,1.162,Kepler
Kepler,K00160.01,FALSE POSITIVE,13.73808249,3.84,6375.0,1.178,0.991,Kepler
Kepler,K00164.01,FALSE POSITIVE,4.4645454,3.07,6093.0,1.985,1.168,Kepler
Kepler,K00169.01,FALSE POSITIVE,11.70219638,16.15,5758.0,0.762,0.848,Kepler
Kepler,K00170.01,FALSE POSITIVE,15.60865244,6.17,8014.0,2.43,1.874,Kepler
Kepler,K00175.01,FALSE POSITIVE,6.71425632,5.76,6093.0,2.623,1.372,Kepler
Kepler,K00178.01,FALSE POSITIVE,6.14281498,1.82,6495.0,1.554,1.182,Kepler
Kepler,K00181.01,FALSE POSITIVE,5.093938816,17.19,6197.0,1.035,1.096,Kepler
Kepler,K00182.01,FALSE POSITIVE,3.479425638,12.86,5907.0,0.878,0.929,Kepler
Kepler,K00184.01,FALSE POSITIVE,7.300735516,13.32,6434.0,1.138,1.169,Kepler
Kepler,K00187.01,FALSE POSITIVE,30.882538697,15.4,6014.0,0.993,1.101,Kepler
Kepler,K00190.01,FALSE POSITIVE,12.264867364,28.29,5372.0,2.344,1.295,Kepler
Kepler,K00193.01,FALSE POSITIVE,37.590298548,14.39,6147.0,1.003,1.064,Kepler
Kepler,K00198.01,FALSE POSITIVE,87.24250316,15.86,5671.0,0.955,1.054,Kepler
Kepler,K00199.02,FALSE POSITIVE,8.78458274,2.6,5927.0,1.691,1.161,Kepler
Kepler,K00213.01,FALSE POSITIVE,48.118812545,45.18,6003.0,0.872,0.952,Kepler
Kepler,K00215.01,FALSE POSITIVE,42.94386258,41.62,5750.0,0.94,0.808,Kepler
Kepler,K00218.01,FALSE POSITIVE,18.692860599,14.81,5190.0,0.66,0.732,Kepler
Kepler,K00224.01,FALSE POSITIVE,3.979867514,26.5,6032.0,0.973,1.055,Kepler
Kepler,K00225.01,FALSE POSITIVE,0.838597429,44.67,6366.0,1.236,1.257,Kepler
Kepler,K00230.01,FALSE POSITIVE,4.702495974,37.24,5408.0,0.878,0.842,Kepler
Kepler,K00231.01,FALSE POSITIVE,119.8401019,26.96,4602.0,0.675,0.733,Kepler
Kepler,K00233.01,FALSE POSITIVE,1.824649,5.31,6190.0,0.793,0.704,Kepler
Kepler,K00236.01,FALSE POSITIVE,5.77675928,32.77,5544.0,0.875,0.761,Kepler
Kepler,K00242.01,FALSE POSITIVE,7.258450123,5.53,5638.0,0.92,1.006,Kepler
Kepler,K00243.01,FALSE POSITIVE,2.637574744,9.16,6108.0,1.03,1.132,Kepler
Kepler,K00255.03,FALSE POSITIVE,7.7333361,0.57,3780.0,0.511,0.531,Kepler
Kepler,K00256.01,FALSE POSITIVE,1.378649746,6.51,3440.0,0.439,0.465,Kepler
Kepler,K00258.01,FALSE POSITIVE,4.15743922,96.99,6529.0,3.131,1.623,Kepler
Kepler,K00259.01,FALSE POSITIVE,79.99623328,40.73,6796.0,2.49,1.715,Kepler
Kepler,K00263.01,FALSE POSITIVE,20.71927223,2.51,5729.0,1.545,0.994,Kepler
Kepler,K00264.01,FALSE POSITIVE,4.029810359,1.77,5929.0,1.651,1.127,Kepler
Kepler,K00267.01,FALSE POSITIVE,165.75597,15049.8,5800.0,1.412,0.958,Kepler
Kepler,K00286.01,FALSE POSITIVE,23.6272223,3.84,8308.0,2.879,2.197,Kepler
Kepler,K00287.01,FALSE POSITIVE,14.170972781,20.88,8347.0,1.715,1.826,Kepler
Kepler,K00290.01,FALSE POSITIVE,2.683395376,2.55,6958.0,1.529,1.344,Kepler
Kepler,K00293.01,FALSE POSITIVE,4.63958598,1.52,6591.0,1.646,1.045,Kepler
Kepler,K00300.01,FALSE POSITIVE,2.976020742,2.07,5947.0,1.796,1.023,Kepler
Kepler,K00302.02,FALSE POSITIVE,53.34418038,,,,,Kepler
Kepler,K00309.01,FALSE POSITIVE,1.633107509,0.53,4579.0,0.684,0.672,Kepler
Kepler,K00311.01,FALSE POSITIVE,66.1544958,3.33,4679.0,0.643,0.638,Kepler
Kepler,K00320.01,FALSE POSITIVE,4.79179893,26.26,6499.0,1.103,1.135,Kepler
Kepler,K00322.01,FALSE POSITIVE,5.888835386,584.67,5780.0,1.0,1.0,Kepler
Kepler,K00324.01,FALSE POSITIVE,1.089077863,1.96,6280.0,1.551,1.1,Kepler
Kepler,K00325.01,FALSE POSITIVE,7.86335883,7.84,5731.0,1.913,1.351,Kepler
Kepler,K00326.01,FALSE POSITIVE,8.97349999,36.0,4751.0,11.536,1.606,Kepler
Kepler,K00326.02,FALSE POSITIVE,108.546946,29.67,4751.0,11.536,1.606,Kepler
Kepler,K00328.01,FALSE POSITIVE,2.250826647,30.03,5779.0,1.119,0.928,Kepler
Kepler,K00329.01,FALSE POSITIVE,8.58969597,20.8,6024.0,0.9,0.985,Kepler
Kepler,K00334.01,FALSE POSITIVE,8.4879444,1.23,6134.0,1.039,0.98,Kepler
Kepler,K00335.01,FALSE POSITIVE,46.56675437,5.25,6629.0,1.619,1.302,Kepler
Kepler,K00336.01,FALSE POSITIVE,19.5148412,2.8,7004.0,2.556,1.7,Kepler
Kepler,K00340.01,FALSE POSITIVE,23.6731242,17.74,5769.0,1.177,1.1,Kepler
