mission,object_name,disposition,period,planet_radius,star_temp,star_radius,star_mass,discovery_facility
ARCHIVE,PLANET_0,CONFIRMED,,,,,,UNKNOWN
ARCHIVE,PLANET_1,CONFIRMED,,,,,,UNKNOWN
Kepler,K00121.01,FALSE POSITIVE,8.8111022,63.66,6200.0,2.404,1.333,Kepler
ARCHIVE,PLANET_3,FALSE POSITIVE,,,,,,UNKNOWN
ARCHIVE,PLANET_4,CONFIRMED,,,,,,UNKNOWN
ARCHIVE,PLANET_5,FALSE POSITIVE,,,,,,UNKNOWN
Kepler,K00133.01,CONFIRMED,4.618767792,7.48,6013.0,1.033,0.938,Kepler
Kepler,K00138.01,CONFIRMED,48.93786896,24.19,7066.0,1.761,1.406,Kepler
Kepler,K00140.01,FALSE POSITIVE,19.97867,6.85,9651.0,1.895,2.219,Kepler
ARCHIVE,PLANET_9,FALSE POSITIVE,,,,,,UNKNOWN
Kepler,K00145.01,CONFIRMED,102.9641952,39.0,5047.0,7.119,2.15,Kepler
ARCHIVE,PLANET_11,FALSE POSITIVE,,,,,,UNKNOWN
ARCHIVE,PLANET_12,CONFIRMED,,,,,,UNKNOWN
ARCHIVE,PLANET_13,FALSE POSITIVE,,,,,,UNKNOWN
ARCHIVE,PLANET_14,CONFIRMED,,,,,,UNKNOWN
ARCHIVE,PLANET_15,CONFIRMED,,,,,,UNKNOWN
ARCHIVE,PLANET_16,FALSE POSITIVE,,,,,,UNKNOWN
ARCHIVE,PLANET_17,CONFIRMED,,,,,,UNKNOWN
ARCHIVE,PLANET_18,FALSE POSITIVE,,,,,,UNKNOWN
ARCHIVE,PLANET_19,CONFIRMED,,,,,,UNKNOWN
Kepler,K00170.01,CONFIRMED,15.60865244,6.17,8014.0,2.43,1.874,Kepler
ARCHIVE,PLANET_21,CONFIRMED,,,,,,UNKNOWN
ARCHIVE,PLANET_22,CONFIRMED,,,,,,UNKNOWN
ARCHIVE,PLANET_23,CONFIRMED,,,,,,UNKNOWN
ARCHIVE,PLANET_24,FALSE POSITIVE,,,,,,UNKNOWN
Kepler,K00182.01,CONFIRMED,3.479425638,12.86,5907.0,0.878,0.929,Kepler
Kepler,K00187.01,FALSE POSITIVE,30.882538697,15.4,6014.0,0.993,1.101,Kepler
ARCHIVE,PLANET_27,FALSE POSITIVE,,,,,,UNKNOWN
ARCHIVE,PLANET_28,FALSE POSITIVE,,,,,,UNKNOWN
ARCHIVE,PLANET_29,FALSE POSITIVE,,,,,,UNKNOWN
ARCHIVE,PLANET_30,FALSE POSITIVE,,,,,,UNKNOWN
ARCHIVE,PLANET_31,CONFIRMED,,,,,,UNKNOWN
ARCHIVE,PLANET_32,CONFIRMED,,,,,,UNKNOWN
ARCHIVE,PLANET_33,CONFIRMED,,,,,,UNKNOWN
ARCHIVE,PLANET_34,CONFIRMED,,,,,,UNKNOWN
ARCHIVE,PLANET_35,CONFIRMED,,,,,,UNKNOWN
Kepler,K00210.01,CONFIRMED,20.92735802,17.36,6126.0,1.109,1.021,Kepler
Kepler,K00211.01,FALSE POSITIVE,124.03589939,11.13,5822.0,1.28,1.047,Kepler
