tid,toi,toidisplay,toipfx,ctoi_alias,pl_pnum,tfopwg_disp,st_tmag,st_tmagerr1,st_tmagerr2,st_tmagsymerr,st_tmaglim,rastr,ra,raerr1,raerr2,rasymerr,decstr,dec,decerr1,decerr2,decsymerr,st_pmra,st_pmraerr1,st_pmraerr2,st_pmrasymerr,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdecsymerr,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidsymerr,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbpersymerr,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhsymerr,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandepsymerr,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radesymerr,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insolsymerr,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtsymerr,pl_eqtlim,st_dist,st_disterr1,st_disterr2,st_distsymerr,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_teffsymerr,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_loggsymerr,st_logglim,st_rad,st_raderr1,st_raderr2,st_radsymerr,st_radlim,sectors,toi_created,rowupdate,release_date
317060587,"1052.01","TOI-1052.01","1052","317060587.01",1,"CP",9.0197000,0.006,-0.006,1,0,"22h30m02.47s",337.5102740,,,,"-75d38m47.62s",-75.6465610,,,,-63.3270000,0.046,-0.046,1,0,-1.9420000,0.044,-0.044,1,0,2458332.9412290,0.002642,-0.002642,1,0,9.1398040,0.0001109,-0.0001109,1,0,3.0912936,0.6627002,-0.6627002,1,0,358.4157801,33.7214740,-33.7214740,1,0,3.0629855,2.8175755,-2.8175755,1,0,243.0117630,,,,,1006.9932829,,,,,129.8040000,0.5575000,-0.5575000,1,0,5958.2000000,76.0000000,-76.0000000,1,0,4.3400000,0.1200000,-0.1200000,1,0,1.5800000,0.1651230,-0.1651230,1,0,,"2019-08-16 20:20:47","2023-07-24 12:03:31","2025-09-28 22:48:44"
366989877,"1054.01","TOI-1054.01","1054","366989877.01",1,"CP",8.4362000,0.006,-0.006,1,0,"20h08m27.4s",302.1141740,,,,"-54d19m03s",-54.3175010,,,,1.5940000,0.054,-0.054,1,0,-15.9030000,0.049,-0.049,1,0,2460122.7001390,0.019948,-0.019948,1,0,15.5077855,0.0002372,-0.0002372,1,0,4.5650000,0.4270000,-0.4270000,1,0,513.0000000,25.4443000,-25.4443000,1,0,2.4343200,0.1429570,-0.1429570,1,0,88.0718000,,,,,853.0000000,,,,,88.4343000,0.2817500,-0.2817500,1,0,6122.0000000,194.0000000,-194.0000000,1,0,4.3088100,0.2685550,-0.2685550,1,0,1.1700000,0.0500000,-0.0500000,1,0,,"2019-08-16 20:20:48","2023-09-14 16:02:01","2025-09-28 22:48:44"
320004517,"1055.01","TOI-1055.01","1055","320004517.01",1,"CP",8.0888000,0.006,-0.006,1,0,"19h33m08.79s",293.2866150,,,,"-54d31m57.82s",-54.5327280,,,,108.4390000,0.074,-0.074,1,0,-82.6320000,0.052,-0.052,1,0,2458661.0627110,0.000867,-0.000867,1,0,17.4713078,0.0000176,-0.0000176,1,0,4.4284819,0.0990118,-0.0990118,1,0,1199.7541483,28.8726270,-28.8726270,1,0,3.5766828,0.2409907,-0.2409907,1,0,53.3700317,,,,,689.3568807,,,,,57.2651000,0.1869500,-0.1869500,1,0,5783.5400000,7.8242900,-7.8242900,1,0,4.4992500,0.0192310,-0.0192310,1,0,0.9746690,0.0546984,-0.0546984,1,0,,"2019-08-16 20:20:47","2024-10-01 10:08:01","2025-09-28 22:48:44"
299799658,"1062.01","TOI-1062.01","1062","299799658.01",1,"CP",9.4780000,0.006,-0.006,1,0,"02h32m29.03s",38.1209680,,,,"-78d01m25.26s",-78.0236830,,,,107.8470000,0.045,-0.045,1,0,30.7320000,0.042,-0.042,1,0,2460177.2004290,0.001332,-0.001332,1,0,4.1150576,0.0000056,-0.0000056,1,0,1.0800000,0.3230000,-0.3230000,1,0,487.0000000,50.8548000,-50.8548000,1,0,2.3005700,0.1683300,-0.1683300,1,0,77.3573000,,,,,826.0000000,,,,,82.1733000,0.1632000,-0.1632000,1,0,5394.0000000,185.0000000,-185.0000000,1,0,4.5094200,0.2760770,-0.2760770,1,0,0.8900000,0.0500000,-0.0500000,1,0,,"2019-08-16 20:20:47","2023-10-16 16:02:02","2025-09-28 22:48:44"
79748331,"1064.01","TOI-1064.01","1064","79748331.01",1,"CP",10.0059000,0.006,-0.006,1,0,"19h44m00.94s",296.0039350,,,,"-47d33m43.31s",-47.5620300,,,,-3.4570000,0.124,-0.124,1,0,-100.8910000,0.072,-0.072,1,0,2458656.6684780,0.001185,-0.001185,1,0,6.4438657,0.0000165,-0.0000165,1,0,1.9309449,0.3014965,-0.3014965,1,0,1121.9512275,76.1576460,-76.1576460,1,0,2.4603440,1.6387280,-1.6387280,1,0,60.8313050,,,,,712.2812841,,,,,68.0726000,0.3620000,-0.3620000,1,0,4803.0000000,178.0000000,-178.0000000,1,0,4.5207900,2.0034800,-2.0034800,1,0,0.7371890,0.0567035,-0.0567035,1,0,,"2019-08-16 20:20:42","2024-04-25 10:08:01","2025-09-28 22:48:44"
79748331,"1064.02","TOI-1064.02","1064","79748331.02",2,"CP",10.0059000,0.006,-0.006,1,0,"19h44m00.94s",296.0039350,,,,"-47d33m43.31s",-47.5620300,,,,-3.4570000,0.124,-0.124,1,0,-100.8910000,0.072,-0.072,1,0,2458664.4901320,0.001696,-0.001696,1,0,12.2265595,0.0000269,-0.0000269,1,0,2.1904379,0.4219775,-0.4219775,1,0,1206.3693293,86.6094400,-86.6094400,1,0,2.6014766,1.7533404,-1.7533404,1,0,25.8970378,,,,,575.3502049,,,,,68.0726000,0.3620000,-0.3620000,1,0,4803.0000000,178.0000000,-178.0000000,1,0,4.5207900,2.0034800,-2.0034800,1,0,0.7371890,0.0567035,-0.0567035,1,0,,"2019-08-16 20:20:42","2024-04-25 10:08:01","2025-09-28 22:48:44"
158297421,"1073.01","TOI-1073.01","1073","158297421.01",1,"CP",13.6699000,0.006,-0.006,1,0,"19h09m56.26s",287.4844020,,,,"-49d39m53.79s",-49.6649420,,,,3.8270000,0.058,-0.058,1,0,4.8780000,0.038,-0.038,1,0,2459036.4728120,0.001293,-0.001293,1,0,3.9228016,0.0000122,-0.0000122,1,0,1.8736007,0.0798146,-0.0798146,1,0,31510.9004906,1047.8658000,-1047.8658000,1,0,13.3368705,0.4312808,-0.4312808,1,0,91.1675890,,,,,788.0973496,,,,,300.6700000,3.8060000,-3.8060000,1,0,4444.0000000,168.0000000,-168.0000000,1,0,4.4380000,,,1,0,0.6983000,,,1,0,,"2019-08-16 20:20:43","2021-12-09 10:10:02","2025-09-28 22:48:44"
351601843,"1075.01","TOI-1075.01","1075","351601843.01",1,"CP",11.1186000,0.007,-0.007,1,0,"20h39m53.09s",309.9712090,,,,"-65d26m58.92s",-65.4496990,,,,-99.7370000,0.023,-0.023,1,0,-59.9500000,0.039,-0.039,1,0,2458654.2495030,0.000554,-0.000554,1,0,0.6047392,0.0000056,-0.0000056,1,0,1.0403847,0.2214539,-0.2214539,1,0,1027.6833479,64.4610100,-64.4610100,1,0,1.8625587,1.4926332,-1.4926332,1,0,528.0253155,,,,,1222.5973095,,,,,61.4592000,0.0943500,-0.0943500,1,0,4046.0000000,170.0000000,-170.0000000,1,0,4.6096300,0.2306780,-0.2306780,1,0,0.5803370,0.0172756,-0.0172756,1,0,,"2019-08-16 20:20:48","2024-09-09 10:08:01","2025-09-28 22:48:44"
370133522,"1078.01","TOI-1078.01","1078","370133522.01",1,"CP",10.1165000,0.007,-0.007,1,0,"20h27m42.88s",306.9286460,,,,"-56d27m44.23s",-56.4622870,,,,424.4140000,0.073,-0.073,1,0,-1230.6200000,0.073,-0.073,1,0,2458654.1033200,0.000362,-0.000362,1,0,0.5182425,0.0000042,-0.0000042,1,0,0.8565249,0.0753501,-0.0753501,1,0,831.8920424,40.7684800,-40.7684800,1,0,1.3485121,0.0900143,-0.0900143,1,0,255.1405815,,,,,1019.3295979,,,,,20.3730000,0.0192000,-0.0192000,1,0,3325.0000000,102.0000000,-102.0000000,1,0,4.8869300,0.0989410,-0.0989410,1,0,0.3909890,0.0117402,-0.0117402,1,0,,"2019-08-16 20:20:48","2024-09-09 10:08:01","2025-09-28 22:48:44"
360630575,"1097.01","TOI-1097.01","1097","360630575.01",1,"CP",8.7215000,0.006,-0.006,1,0,"12h39m06.21s",189.7758590,,,,"-74d34m26.47s",-74.5740200,,,,-50.3590000,0.039,-0.039,1,0,-6.8740000,0.040,-0.040,1,0,2459376.4105180,0.001678,-0.001678,1,0,9.1885060,0.0000288,-0.0000288,1,0,2.4920000,0.1530000,-0.1530000,1,0,460.0000000,0.4277350,-0.4277350,1,0,2.1659100,0.1217650,-0.1217650,1,0,63.4589000,,,,,786.0000000,,,,,79.5561000,0.1485500,-0.1485500,1,0,5876.0000000,124.0000000,-124.0000000,1,0,4.4800000,0.0800000,-0.0800000,1,0,0.9800000,0.0400000,-0.0400000,1,0,,"2019-08-12 16:22:54","2024-09-10 10:08:02","2025-09-28 22:48:44"
360630575,"1097.02","TOI-1097.02","1097","360630575.02",2,"CP",8.7215000,0.006,-0.006,1,0,"12h39m06.21s",189.7758590,,,,"-74d34m26.47s",-74.5740200,,,,-50.3590000,0.039,-0.039,1,0,-6.8740000,0.040,-0.040,1,0,2459344.4618270,0.002610,-0.002610,1,0,13.9028391,0.0013871,-0.0013871,1,0,2.1264429,0.4109736,-0.4109736,1,0,647.2701039,70.9312900,-70.9312900,1,0,2.6136848,1.3332980,-1.3332980,1,0,77.4841883,,,,,756.6987586,,,,,79.5561000,0.1485500,-0.1485500,1,0,5876.0000000,124.0000000,-124.0000000,1,0,4.4800000,0.0800000,-0.0800000,1,0,0.9832150,0.0449925,-0.0449925,1,0,,"2022-03-24 22:19:26","2023-03-03 12:03:04","2025-09-28 22:48:44"
