mission,object_name,disposition,period,planet_radius,star_temp,star_radius,star_mass,discovery_facility
TESS,1000.01,FALSE POSITIVE,2.1713484,5.8181633,10249.0,2.16986,,TESS
TESS,1002.01,FALSE POSITIVE,1.8675574,23.7529,8924.0,5.73,,TESS
TESS,1003.01,FALSE POSITIVE,2.74323,,5388.5,,,TESS
TESS,1004.01,FALSE POSITIVE,3.5730141,11.3113,9219.0,2.15,,TESS
TESS,1005.01,FALSE POSITIVE,4.5505945,7.10841,5613.0,1.09,,TESS
TESS,1006.01,FALSE POSITIVE,2.5047918,8.6950898,6616.0,1.53429,,TESS
TESS,1008.01,FALSE POSITIVE,2.0483755,3.19621,6858.5,1.57,,TESS
TESS,1010.01,FALSE POSITIVE,0.6808702,5.9115908,9438.0,1.0,,TESS
TESS,1013.01,FALSE POSITIVE,5.4255548,,8868.7,,,TESS
TESS,1014.01,FALSE POSITIVE,1.4095184,,9307.0,,,TESS
TESS,1015.01,FALSE POSITIVE,1.3730466,42.1479417,4897.0,6.7996101,,TESS
TESS,1016.01,FALSE POSITIVE,12.6889415,14.0608342,7601.0,1.53641,,TESS
TESS,1017.01,FALSE POSITIVE,1.10422,21.0448,6995.2,1.61,,TESS
TESS,1018.01,FALSE POSITIVE,4.95912,22.9123,5889.0,2.0,,TESS
TESS,1020.01,FALSE POSITIVE,3.28892,,8734.2,,,TESS
TESS,1021.01,FALSE POSITIVE,1.90879,3.34688,6022.6,1.22,,TESS
TESS,1023.01,FALSE POSITIVE,1.3214483,21.8839,5050.8,2.99,,TESS
TESS,1024.01,FALSE POSITIVE,18.0157,21.644,4709.0,7.61,,TESS
TESS,1026.01,FALSE POSITIVE,14.2628757,2.4765813,5690.0,0.853898,,TESS
TESS,1028.01,FALSE POSITIVE,1.01606,1.20704,4634.0,0.68,,TESS
TESS,1029.01,FALSE POSITIVE,36.22214,,,,,TESS
TESS,1030.01,FALSE POSITIVE,12.1246519,17.6729,4807.6,1.07,,TESS
TESS,1031.01,FALSE POSITIVE,5.652623,8.94354,6415.4,1.92,,TESS
TESS,1033.01,FALSE POSITIVE,29.0160175,6.77406,6113.1,2.01,,TESS
TESS,1034.01,FALSE POSITIVE,3.6404389,3.7025342,9810.0,1.60776,,TESS
TESS,1037.01,FALSE POSITIVE,1.2025238,6.31106,9158.0,1.74,,TESS
TESS,1038.01,FALSE POSITIVE,3.2235985,5.51341,8904.0,2.17,,TESS
TESS,1040.01,FALSE POSITIVE,2.55555,11.5901,10037.0,6.04,,TESS
TESS,1041.01,FALSE POSITIVE,8.30792,43.1068,9081.0,3.05,,TESS
TESS,1043.01,FALSE POSITIVE,1.4415577,3.61078,6902.0,1.52,,TESS
TESS,1045.01,FALSE POSITIVE,3.7039994,17.57,7013.8,1.9,,TESS
TESS,1046.01,FALSE POSITIVE,1.3042553,9.36472,6762.0,1.75,,TESS
TESS,1047.01,FALSE POSITIVE,0.62627,5.72162,5622.0,0.93,,TESS
TESS,1048.01,FALSE POSITIVE,0.30412,10.417,11892.0,2.52,,TESS
TESS,1053.01,FALSE POSITIVE,5.742625,13.088532,5664.0,3.86959,,TESS
TESS,1061.01,FALSE POSITIVE,0.540933,2.28501,5525.0,1.21935,,TESS
TESS,1070.01,FALSE POSITIVE,2.9776152,26.88423,5740.0,1.28,,TESS
